business_id,name,city,state,stars,review_count,main_category,delivery,outdoor_seating,reservations,wifi,latitude,longitude
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,Camden,NJ,4.5,6,Juice Bars & Smoothies,,,,,39.9466899,-75.123327
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,Nashville,TN,4.5,593,Ice Cream & Frozen Yogurt,None,None,False,'free',36.1626492,-86.7759733
RK6-cJ9hj53RzOlCBmpT-g,Impasto,Tampa,FL,5.0,5,Italian,False,,,,27.890814,-82.5023464
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,Reno,NV,4.5,5,Sporting Goods,,,False,u'no',39.476518,-119.7840369
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,Saint Louis,MO,3.5,80,American (New),False,False,True,'no',38.6172724,-90.2127841
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,Fairview Heights,IL,2.5,14,Seafood,True,,,,38.6012982,-89.9896835
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,New Orleans,LA,4.0,382,Seafood,False,False,False,u'free',29.9554151,-90.0700619
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,Wilmington,DE,4.0,23,Mexican,True,False,False,u'no',39.7320886,-75.6256733
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,Treasure Island,FL,4.0,129,French,True,True,True,'free',27.7694046,-82.767317
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,Saint Louis,MO,4.0,73,Lounges,True,True,True,u'free',38.5832229,-90.4071872
VZzivJEbmHItOxNXJB3SpA,Subway,Brentwood,TN,2.5,14,Sandwiches,True,False,False,,36.0263631408,-86.7894728157
anLQj9AM8vjbcLSIE0iUgg,Papa Murphy's,Tucson,AZ,4.0,22,Pizza,True,False,False,,32.3385723,-111.0107602
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,Woodbury,NJ,3.5,29,Chicken Wings,False,True,False,u'no',39.8444681,-75.1248703
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Philadelphia,PA,3.0,137,Chinese,True,False,True,u'free',39.963077709,-75.1680274529
FRYkg_JvsWU9xIXZsEZcVA,Altamura,New Orleans,LA,3.5,27,Cocktail Bars,False,True,True,,29.9333877563,-90.079498291
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,Tucson,AZ,3.5,56,Sports Bars,False,True,False,u'no',32.206315,-110.887843
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,Santa Barbara,CA,4.0,2404,Live/Raw Food,True,True,False,u'no',34.4087147,-119.6850187
Lx8ZYUJ_-3Aa8N821mN1WQ,ALM Kainan,Sparks,NV,4.0,13,Filipino,False,False,False,,39.5371788,-119.7355322
WYYdQDjx-DsCanlP0DpImQ,J Sushi,Philadelphia,PA,4.5,72,Seafood,True,False,True,u'free',39.9470334,-75.1574339
aNtKyc2rr-uK5cqzY9TVQQ,Chipotle Mexican Grill,Largo,FL,3.0,19,Mexican,True,True,False,'free',27.894167,-82.779866
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,Nashville,TN,4.0,182,Mexican,False,None,False,'free',36.162799,-86.776016
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,Nashville,TN,1.5,37,Burgers,True,False,False,,36.112075744,-86.7674462724
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,Madison,TN,3.5,40,Barbeque,True,False,False,u'no',36.296536,-86.700179
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,Ewing,NJ,4.0,52,Italian,True,True,True,'no',40.2668877,-74.8056572
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,Nashville,TN,3.0,1639,Venues & Event Spaces,True,True,True,u'paid',36.2115923083,-86.6943191727
P10BsKUeoeCeVoK4BS2u0w,Trust Me BBQ,Riverview,FL,4.0,29,Barbeque,False,True,False,u'no',27.8652573,-82.3260903
7Du9oW73YcYFmXdtU5aiSg,Kinjo's Japanese Restaurant,Saint Petersburg,FL,3.5,17,Japanese,False,False,True,,27.7972626,-82.7339127
QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,Tampa,FL,3.0,5,Fast Food,True,,False,,28.0548882706,-82.3995484
LGqiubTmpJ-A1L5n7dmc6g,Domino's Pizza,Harvey,LA,1.5,14,Sandwiches,False,False,False,u'no',29.8753202,-90.045817
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,Warrington,PA,2.5,25,Pizza,True,False,False,u'no',40.2295269733,-75.1310898382
yM8LlTInbQH4FwWC97lz6w,McDonald's,St. Louis,MO,1.5,100,Fast Food,True,True,False,'free',38.6124951839,-90.2219420671
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,Lutz,FL,4.0,75,American (New),True,True,,,28.192191035,-82.396367
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,Philadelphia,PA,1.5,15,Burgers,True,False,False,,40.012141,-75.1150148
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,Langhorne,PA,1.5,27,Japanese,True,False,False,u'no',40.2177843,-74.9265858
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,King of Prussia,PA,3.5,60,Bakeries,False,,,,40.1124813,-75.3799748
IYlUaKC9nICjiWdk-ShPlg,Bub's Cafe,Carmel,IN,4.0,175,Breakfast & Brunch,False,True,False,u'free',39.976614,-86.130124
tSFXJ0GFl5iUdy021YgWLw,The Mad Griddle ,Indianapolis,IN,5.0,7,Arts & Entertainment,True,True,True,u'free',39.781126,-86.1241235
ZU6NodDOWaabGkeNpOWdXw,530 Pub & Grill,Clearwater,FL,4.5,6,American (Traditional),True,,,,27.9657471097,-82.7989008
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,Indianapolis,IN,4.0,246,Steakhouses,True,False,True,u'free',39.8887246,-86.1212129
8c0r7olQSYGcws0bTd3ikw,Zesty Tsunami,New Port Richey,FL,4.0,5,Hawaiian,,,False,,28.2502179787,-82.6824409515
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,Tampa,FL,4.0,108,Pubs,False,True,False,u'free',28.09236,-82.500588
6BF3eaIzHtoNHSxKTFnTyg,Mister B's Cigar Box,Avon,IN,3.5,13,Lounges,False,False,False,'free',39.7627741475,-86.3793863588
wjyUxHxkrvUvCOVqy4g_wg,Oscar's Cafe,Normandy,MO,4.0,11,American (Traditional),False,False,,,38.704765,-90.299811
4IcB3QyMEA85UTWFKh9O9A,Eat Mah Taco @ Pal's Lounge,New Orleans,LA,4.5,8,American (New),False,False,,u'free',29.976762,-90.086423
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,Tucson,AZ,4.0,58,Sports Bars,True,True,False,u'free',32.3387235226,-111.0303098651
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,Philadelphia,PA,4.5,183,Breakfast & Brunch,False,True,False,'free',39.9385518,-75.1496356
xbRbvXSAVZBEwaUUn3mzbg,Lee Roy Selmon's,Tampa,FL,3.5,42,Salad,True,True,True,'free',28.0787347875,-82.5063104158
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,Franklin,TN,4.5,112,Italian,True,False,True,u'free',35.9565328581,-86.8027199385
v5kwdvmg-J8g-ll0nkc3Sw,The Libertine Liquor Bar,Indianapolis,IN,4.0,208,Lounges,False,True,True,u'free',39.7672488945,-86.1567753553
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,Philadelphia,PA,4.0,46,Shanghainese,False,False,True,u'free',39.9516153765,-75.2033457223
Edg22x3CZkIv0GUib2oEFA,Mellow Mushroom,New Orleans,LA,3.5,149,Pizza,True,True,True,'free',29.9486236188,-90.1312502816
VVvUBlc_WIEb8obKGq39dA,Four Green Fields,Tampa,FL,4.5,39,Irish Pub,False,False,False,'no',27.9803985924,-82.5377866183
py5aKmlTB2NarfsfcOpHOQ,Cafe Con Leche,Tampa,FL,2.5,55,Breakfast & Brunch,True,False,False,'free',27.9767745,-82.5374233
wZhGuW7vQpfhxeEvLHkTrA,Express Cafe,Meridian,ID,4.5,119,Breakfast & Brunch,False,False,False,u'no',43.6196488,-116.3871392
YR0nwxBOKk6DiLHNItfsBQ,Boston Pizza,St Albert,AB,3.5,14,Italian,True,True,True,u'free',53.625071,-113.6166452
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,Philadelphia,PA,4.5,12,Bakeries,False,,,,39.9768798,-75.1161695
jcL_qaGJiappzpnn-ifSoA,Fat Jakks,Edmonton,AB,4.0,8,Chinese,True,False,True,u'no',53.5515508,-113.4951554
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,Philadelphia,PA,4.5,66,Cupcakes,True,False,False,u'free',39.9563959,-75.2253784
dJfkfBbJz7wi0RgW-ph_Eg,Sake House,Tampa,FL,3.0,140,Sushi Bars,True,False,True,u'no',28.055212,-82.399374
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,Philadelphia,PA,3.0,178,Tex-Mex,False,False,False,u'no',39.9412993,-75.1477446
W57cR9a7XP6RX56MSWHJJA,Las Margaritas,New Orleans,LA,3.5,58,Mexican,False,True,True,'no',29.95029,-90.074887
x7_p5O3ChQa7shdHCcLHZQ,Olivier's Creole Restaurant,New Orleans,LA,3.5,172,Event Planning & Services,False,False,True,u'no',29.9510658,-90.0715323
JF7iyI3wA_AKi_iXOKi0Qw,Parlor Suburban Square,Ardmore,PA,3.5,61,Italian,True,True,True,u'free',40.008645,-75.288802
xa6JYHDgVza7CuenKBJBHw,Taqueria El Sitio,Hermitage,TN,4.5,8,Latin American,True,,False,,36.191654,-86.6254189
1dSKEitDDgIkaApe6UNMSA,The Pepper Pott,Nashville,TN,5.0,18,Caribbean,True,False,False,u'no',36.1530043,-86.8433279
rZw9O5lJ36m_mXeRKE4G9A,La Sponda,Downingtown,PA,4.5,29,Italian,,True,True,u'free',40.0062075104,-75.7044510304
dCITjr2RMTmrX33_eFaMKA,BurgerWorks,Sherwood Park,AB,3.5,17,Burgers,False,False,False,u'no',53.5426345,-113.3111322
Pr_Mlt9FqdcW7WCFGJmozA,The Cider Factory,Virginia City,NV,4.5,104,Italian,True,True,True,'no',39.305224,-119.652596
-7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,Bala Cynwyd,PA,4.0,92,Cocktail Bars,False,False,True,u'free',40.0079839104,-75.2126064939
e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,Philadelphia,PA,4.5,11,Sandwiches,,,,,39.963042,-75.1741858944
tuyCmcmm5Q-bc-9zV76xKA,Pho Friendly,Trenton,NJ,4.5,93,Thai,True,None,False,'no',40.23547,-74.7532115132
V-96iACFgPmVjjKACGxd7Q,Fusion Pizza & Grill,Philadelphia,PA,2.5,6,Ethnic Food,True,,False,,40.0839955,-75.0354963
p184f-Zvf4ToPwLba0VS4A,Misto Diner,Bensalem,PA,3.5,26,Chinese,True,False,True,,40.1447023,-74.934106
zVlhs7BVaouutt-rles-YA,Williams Sub Shop,Saint Petersburg,FL,4.5,99,Sandwiches,False,False,False,u'no',27.806517,-82.749065
1E9o1SNo7UTf1XHTFPv1_Q,Franklin Juice Co,Franklin,TN,4.5,66,Acai Bowls,True,True,False,u'free',35.9326054453,-86.860662065
0CEUpFtaKhxbmrbSdP9MUQ,Acadia,Philadelphia,PA,4.0,79,Cajun/Creole,None,True,True,u'free',39.9389483,-75.1564078
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,Tucson,AZ,4.0,446,Salad,True,False,True,u'free',32.2509598946,-110.9591583204
FF45pKN_lzqG8Bqk-_HQvw,Go! Gyro! Go!,Saint Louis,MO,4.5,49,Street Vendors,False,False,False,u'no',38.5844866,-90.266699
TEP-73fGvgSUmtQFaOTA_g,The Steak Out,Marana,AZ,2.5,30,Steakhouses,False,True,True,,32.424551,-111.042885
bDAlJYMIzwOewIThe2IZjQ,Domino's Pizza,Indianapolis,IN,4.0,12,Chicken Wings,True,,False,'no',39.699929,-86.2416313
b7YJrFZWZdI2C5-9nZvVdw,Saltwater Grill,New Orleans,LA,2.5,34,Specialty Food,False,True,True,u'no',29.944454,-90.133537
SRexiuEsx1d9-dZVUsssQA,Brandon Burgers,Brandon,FL,3.5,24,Salad,True,,,,27.9373704213,-82.3077001423
xJyp6RLqNRv3tSu6njPKxQ,World of Beer,Exton,PA,3.0,208,Pubs,True,True,False,u'free',40.0236651,-75.6291878
1P_mGUY1PyPq7_ZabrzpBw,Carmine's Steakhouse,Saint Louis,MO,4.0,261,Italian,None,True,True,u'free',38.6243584,-90.1886849
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,Odessa,FL,4.0,82,Mexican,False,False,False,u'free',28.0921362,-82.5785736
OfW-VK04qr7b7bPm5QbyLg,Taqueria Feliz,Horsham,PA,3.0,77,Mexican,False,False,True,u'free',40.1807271,-75.1346993
0DbIUh_Xuj6H5B_SF0RLCQ,Iguana's Mexican Restaurant,Brownsburg,IN,4.0,74,Mexican,True,True,False,,39.8518617214,-86.3847577572
bSJczuohHVko33UT82hnfA,Blaze Pizza,New Orleans,LA,4.0,302,Pizza,True,True,False,u'free',29.948395,-90.075281
PCM-vL-vRLJ4HB2OE8Nnbg,Baxter's Saloon & Grill,Malvern,PA,2.5,31,Pubs,False,True,True,u'free',40.0536347,-75.526719
rmHgqdVkLsGN2byesWRo0w,Brewster's Pub,Maple Shade,NJ,3.5,12,American (Traditional),False,False,False,'free',39.9394973,-74.9743023
JfGfqCnk0-Tnf6PlahPUJQ,Burger Village,Edmonton,AB,4.0,10,Burgers,True,False,True,u'free',53.436403,-113.604288
aNXw3PkXVt8ANwLyCfcmpg,McDonald's,Lansdale,PA,1.5,17,Fast Food,True,,,u'free',40.2637063378,-75.3179157563
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,Philadelphia,PA,2.5,16,Fast Food,True,False,False,u'no',39.9368911,-75.1672837
KUx_q3nzqUINYgUTrZc9OA,Pita Pit,Tucson,AZ,3.0,9,Sandwiches,True,True,False,,32.2319918,-110.9584924
VeqkfRUzZAKlQer3npXPdQ,New India's Kitchen,Ballwin,MO,4.0,130,Indian,False,True,True,u'no',38.5920571,-90.5035651
JwBTq6IOFH97b9Hr6RT7pw,Reinette Café & Patisserie,Edmonton,AB,3.0,5,Coffee & Tea,,,,u'free',53.5225968429,-113.61922974
dChRGpit9fM_kZK5pafNyA,The Love,Philadelphia,PA,4.0,618,American (New),True,True,True,'no',39.9506555,-75.1708991
uyc-S7lauYjzouYQ2TM76A,Papa John's Pizza,Saint Louis,MO,2.0,9,Pizza,True,,False,'no',38.7461593,-90.2798145
2_gRg3_oWK3GoiB-OpcDHA,CedarBrook Deli,Cedarbrook,NJ,3.5,5,Convenience Stores,,True,False,,39.721471,-74.9016858
YE2TePip0TxcdquF5hGauQ,JoJo's Hot Dogs and BBQ,Goodlettsville,TN,4.5,14,Barbeque,,,,,36.3260267,-86.7040631
KdkMXzeoqpfNsZd-_axoTQ,emPIEnada,Reno,NV,4.5,41,Event Planning & Services,True,True,,,39.5428346,-119.8569115
iBRXLFWD7PeSYDbKsd_JTw,Mai Thai Restaurant,Brandon,FL,4.5,27,Ethnic Food,False,False,True,'paid',27.8915738378,-82.2725105
od6skmfXz9twktEAuJHEmw,Ryan Christopher,Narberth,PA,4.0,120,American (New),None,True,True,'no',40.0099504,-75.2591858
sUQ-OfJYSNfz-cimEjoaXQ,Soho Oasis Cafe,Tampa,FL,3.5,7,Middle Eastern,False,True,True,u'no',27.9402059,-82.4828837
j9Kaj_6tSeXmVMYCgZithg,Noble Crust,Wesley Chapel,FL,4.5,496,Italian,True,True,True,'free',28.188219,-82.347274
EIlFs8kybcG-l60GJjNUIA,Domino's Pizza,Oldsmar,FL,2.5,20,Pizza,True,False,False,,28.0420037,-82.6746125
z9wCTHYI2VZy9YIblwSsgg,The Silo Eatery Coffee Bakery,Tampa,FL,4.0,5,Coffee & Tea,False,True,False,u'free',27.9464963776,-82.3555628732
4xhGQGdGqU60BIznBjqnuA,California Tacos and Taproom,Isla Vista,CA,4.0,49,Mexican,True,True,False,u'free',34.4115552,-119.8550772
juVJO2kMrHwCYXwQQmv1Tg,Sidekicks Pizza,Indianapolis,IN,4.0,45,Sandwiches,True,True,True,u'free',39.7520076,-86.1395724
Rz0KfP7YAZV_yQE8uIB0fg,El Sabor Boricua,Tampa,FL,5.0,6,Puerto Rican,True,True,False,u'no',28.0535153,-82.4534422
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,Philadelphia,PA,4.5,351,Korean,None,False,True,u'no',40.0520643,-75.1273939
Wt1W6qwCvna1KzIuJRJbwA,Tokyo Mandarin,Glassboro,NJ,4.0,88,Japanese,False,False,True,u'no',39.7119376,-75.1109667
fNssGWMjae-SUzyyGblspQ,Apron,Haddonfield,NJ,4.5,24,Caterers,True,True,False,u'no',39.8971069811,-75.0342256956
kwQzVF5GP8DzdyBavvhIaQ,Fisherman's Cove Seafood,Kenner,LA,4.0,91,Seafood Markets,False,False,False,u'no',30.0144336,-90.2402643
wFXwmrlV8TiBS4Ac2-W_9g,MOSI Food Truck Rally,Tampa,FL,3.5,10,Festivals,,,,,28.0536294,-82.4044188
ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,Santa Barbara,CA,4.0,64,Pizza,True,False,False,,34.4362361,-119.7261474
bPPy7yNFfb-6N_bHkn1qAw,Taste of the Caribbean,Indianapolis,IN,3.0,17,Caribbean,True,False,False,u'no',39.7733919,-86.0860599
bTC3m_GPWBp92Y5TTReyTA,Taco Truck Stl,Saint Louis,MO,2.5,10,Mexican,False,,,,38.5939549,-90.2291931
wQjhFPMKwN_z85aPEn6V4Q,Thai Tanic,Montgomeryville,PA,3.0,8,Thai,True,False,False,,40.2501841838,-75.2433013916
516L9-ZWyqVgzqjP5uW7Jg,The Corner Cafe and Deli,Tampa,FL,4.0,6,Sandwiches,True,False,False,u'free',27.9444574,-82.4578244
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,Philadelphia,PA,4.0,604,Event Planning & Services,False,True,True,u'free',39.9418766,-75.1451988
NpglDX_FUp3ybEzbBp4qhw,Summer Palace Chinese Restaurant,Chesterfield,MO,2.5,9,Chinese,True,False,False,'no',38.6811546,-90.496384
iEC0VzHM2hQ13wM7c0QwgQ,Metro Diner,Langhorne,PA,3.5,56,American (Traditional),True,,,,40.180187,-74.87527
OlD8UoHqrKnLoZUFxuas_w,The Hip Hop Sandwich Shop,Spring Hill,FL,2.5,5,Sandwiches,True,,,,28.4934721999,-82.546930168
D7z_V6E8cxXghSRcHAmUPg,La Bella China Restaurant,Tucson,AZ,4.0,92,Chinese,True,False,False,u'free',32.149473,-110.9781864
gb7JjRJtzWDsIWpJihZhBQ,McDonald's,Pennsville,NJ,2.0,20,Burgers,True,False,False,'free',39.6773020944,-75.4953995347
JPm93BlP-UHYPqFgK66JUw,Local Links,Haddon Heights,NJ,4.5,70,Coffee & Tea,False,True,False,u'free',39.8826936,-75.0583844
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Goleta,CA,4.0,189,Burgers,True,True,True,u'no',34.4305419,-119.882367
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,Philadelphia,PA,3.5,163,French,True,False,True,u'no',39.9535919923,-75.1794226902
Dl1alpHSJE4_iB0MGKRLXw,Johnny Rockets,Hazelwood,MO,2.0,6,Fast Food,,False,,,38.7860901654,-90.4157752544
hsyIDX4x4ndYEvPoJF6_1g,Merendero La Catrachitas,St. Louis,MO,4.5,22,Latin American,True,,,,38.5787245,-90.2822168
dk9zGFRJD2RXkHqAmFHOOA,Garage Pizza,New Orleans,LA,4.0,6,American (New),True,True,False,u'free',29.9668143,-90.0895672
rR30b1XWbxZFFgLyGbfNAw,BODHI : Craft Bar + Thai Bistro,Indianapolis,IN,4.5,132,Gastropubs,False,False,False,u'free',39.7802203,-86.1418027
4QFqi8w3rlZTcc5LXKyPJw,Chris' Pizza Village Pleasant View,View,TN,4.0,31,Chicken Wings,False,True,False,u'no',36.387932573,-87.0147362534
RsTF2skxLcp6qo9FdnA5PA,Pizza Hut,Langhorne,PA,1.5,18,Italian,True,False,False,'no',40.21786,-74.9266344309
uYBx50Yl_Jc-UYwFzudBsQ,Chew Doin Fried Chicken & Ramen,Edwardsville,IL,3.0,10,Chicken Shop,True,False,False,u'no',38.8105909,-89.9524841
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,Philadelphia,PA,3.0,52,Bagels,True,False,True,'free',40.0027825,-75.2222705
GpFRwCHN0RI8yFbcfXjfUg,V Sandwiches,Edmonton,AB,3.5,9,Vietnamese,True,None,False,'no',53.5417173,-113.4919398
QZLOM3T6xl7y1Q6zqoqHWg,Freddy's Frozen Custard & Steakburgers,Brookhaven,PA,3.5,26,American (Traditional),True,,,,39.879183,-75.396768
9qxMhGWjGsuPUoQB3Y74Wg,McDonald's,St. Louis,MO,1.5,62,Coffee & Tea,True,False,False,'free',38.6369079537,-90.1954829934
pJB63RaQpkTIKBhfTsLQQg,Biryani Hut,Noblesville,IN,4.0,83,Indian,True,None,,,39.9970877,-86.0023117
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,Philadelphia,PA,4.0,217,Indian,True,False,False,u'no',39.947207,-75.1572515
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,Philadelphia,PA,4.0,166,Cocktail Bars,False,True,True,'no',39.9408715785,-75.1510468125
